...1,doc_id,adj_token_id,noun_token_id,sentence,adj_token,noun_token,noun_lemma,parse_type,prenominal,adj_lower,dataset,adj_stem,noun_stem,person,session,subject,X
51,6311,4,5,I got them rust ones.,rust,ones,one,adj,TRUE,rust,cabnc_utts_udpipe,rust,on,adult,NA,NA,NA
52,6568,5,6,But erm I mean caravan season it goes quick enough don't it I mean most places open in March.,caravan,season,season,adj,TRUE,caravan,cabnc_utts_udpipe,caravan,season,adult,NA,NA,NA
53,6729,6,7,You know it's only round corner in n it.,round,corner,corner,adj,TRUE,round,cabnc_utts_udpipe,round,corner,adult,NA,NA,NA
54,6732,11,12,I don't mind it I don't mind walking round camp.,round,camp,camp,adj,TRUE,round,cabnc_utts_udpipe,round,camp,adult,NA,NA,NA
55,6734,6,7,I don't mind walking round camp.,round,camp,camp,adj,TRUE,round,cabnc_utts_udpipe,round,camp,adult,NA,NA,NA
56,7110,2,3,The frozen peas but and he says said what he'd done he'd.,frozen,peas,pea,adj,TRUE,frozen,cabnc_utts_udpipe,frozen,pea,adult,NA,NA,NA
57,7118,9,10,they're not as nice if you defrost frozen peas and then cook them are they.,frozen,peas,pea,adj,TRUE,frozen,cabnc_utts_udpipe,frozen,pea,adult,NA,NA,NA
58,7456,4,5,Both of them sweet peas coming up Just starting to poke through.,sweet,peas,pea,adj,TRUE,sweet,cabnc_utts_udpipe,sweet,pea,adult,NA,NA,NA
59,7600,8,9,Well I thought cos I like that marble flooring,marble,flooring,flooring,adj,TRUE,marble,cabnc_utts_udpipe,marbl,floor,adult,NA,NA,NA
60,7600,7,8,If they haven't got any green worktops cos,green,worktops,worktop,adj,TRUE,green,cabnc_utts_udpipe,green,worktop,adult,NA,NA,NA
61,7604,11,12,The same as the floor so I might pick the green marble,green,marble,marble,adj,TRUE,green,cabnc_utts_udpipe,green,marbl,adult,NA,NA,NA
62,7678,9,10,I think I've used most of the hot water I think I need to put the immersion on for just a little while.,hot,water,water,adj,TRUE,hot,cabnc_utts_udpipe,hot,water,adult,NA,NA,NA
63,8296,9,11,Norfolk Street self-contained principally first floor flat two bedrooms furnished two eighty.,flat,bedrooms,bedrooms,adj,FALSE,flat,cabnc_utts_udpipe,flat,bedroom,adult,NA,NA,NA
64,8318,7,8,They're only tiny like an alcove bedroom but.,alcove,bedroom,bedroom,adj,TRUE,alcove,cabnc_utts_udpipe,alcov,bedroom,adult,NA,NA,NA
65,8322,12,13,This was right up the top and there were a tiny attic bedroom thing was made into a not very salubrious but it had a cooker and a sink.,attic,bedroom,bedroom,adj,TRUE,attic,cabnc_utts_udpipe,attic,bedroom,adult,NA,NA,NA
66,8410,11,10,Mm they've had a special they had a skylight blind made.,blind,skylight,skylight,adj,FALSE,blind,cabnc_utts_udpipe,blind,skylight,adult,NA,NA,NA
67,8475,29,31,Yeah if that one that Elizabeth Terrace one is is the one I think it is which is the one fairly near the end in that in that bottom bottom row I think the live in the first one they still live in the first one on the corner I'm not sure if they've moved actually now,bottom,row,row,adj,FALSE,bottom,cabnc_utts_udpipe,bottom,row,adult,NA,NA,NA
68,8604,7,8,Yeah it's an older more solid house.,solid,house,house,adj,TRUE,solid,cabnc_utts_udpipe,solid,hous,adult,NA,NA,NA
69,8610,7,8,And this is a back the back door.,back,door,door,adj,TRUE,back,cabnc_utts_udpipe,back,door,adult,NA,NA,NA
